Timestamp,Open,High,Low,Close,Volume
2022-11-05 00:00:00,21103.0,21125.0,21085.0,21087.0,2.43849027
2022-11-05 00:01:00,21085.0,21109.0,21081.0,21107.0,2.90729285
2022-11-05 00:02:00,21104.0,21105.0,21087.0,21087.0,13.65036364
2022-11-05 00:03:00,21087.0,21100.0,21086.0,21089.0,2.32083447
2022-11-05 00:04:00,21081.0,21081.0,21064.0,21064.0,2.2046978
2022-11-05 00:05:00,21064.0,21126.0,21064.0,21126.0,19.48152806
2022-11-05 00:06:00,21131.0,21142.0,21124.0,21129.0,8.51295826
2022-11-05 00:07:00,21136.0,21143.0,21121.0,21124.0,20.05114204
2022-11-05 00:08:00,21121.0,21121.0,21103.0,21103.0,3.29384775
2022-11-05 00:09:00,21109.0,21110.0,21101.0,21101.0,1.38463846
2022-11-05 00:10:00,21100.0,21104.0,21082.0,21082.0,3.30292548
2022-11-05 00:11:00,21082.0,21092.0,21079.0,21092.0,1.69510232
2022-11-05 00:12:00,21090.0,21095.0,21080.0,21080.0,2.27756884
2022-11-05 00:13:00,21077.0,21078.0,21065.0,21065.0,2.12248987
2022-11-05 00:14:00,21063.0,21071.0,21058.0,21058.0,1.10372177
2022-11-05 00:15:00,21058.0,21077.0,21058.0,21071.0,3.38789947
2022-11-05 00:16:00,21071.0,21076.0,21071.0,21072.0,3.07963298
2022-11-05 00:17:00,21073.0,21084.0,21073.0,21075.0,1.0932427
2022-11-05 00:18:00,21075.0,21076.0,21070.0,21073.0,15.11405818
2022-11-05 00:19:00,21076.0,21076.0,21072.0,21072.0,1.4426836
2022-11-05 00:20:00,21071.0,21079.0,21066.0,21079.0,1.14396431
2022-11-05 00:21:00,21082.0,21104.0,21082.0,21097.0,5.21739856
2022-11-05 00:22:00,21097.0,21097.0,21080.0,21080.0,0.35855
2022-11-05 00:23:00,21078.0,21078.0,21070.0,21070.0,0.51675086
2022-11-05 00:24:00,21071.0,21084.0,21070.0,21071.0,0.07321577
2022-11-05 00:25:00,21059.0,21069.0,21059.0,21069.0,0.34379799
2022-11-05 00:26:00,21079.0,21082.0,21077.0,21077.0,0.55505649
2022-11-05 00:27:00,21077.0,21088.0,21077.0,21088.0,0.801103
2022-11-05 00:28:00,21089.0,21089.0,21086.0,21087.0,0.84704415
2022-11-05 00:29:00,21087.0,21094.0,21087.0,21091.0,2.41208043
2022-11-05 00:30:00,21094.0,21100.0,21085.0,21085.0,3.31247106
